DPT;CIRC;INS;VOT;BLA;NUL;EXP;EXG;PCF;FG;EELV-GR;EELV;PS-EELV;PS;DVG;GEC;DIV;ECO;REG;MoDem;UDI;UD;LR;DVD;SOUV;FN;EXD
50;04;88718;41843;859;610;40374;848;0;2987;0;2349;0;12492;437;0;0;0;0;0;0;10159;0;0;1726;9376;0
51;01;69904;31449;585;424;30440;570;0;1225;0;2200;0;5909;0;0;0;0;372;0;0;8251;0;0;2222;9691;0
51;02;72530;33825;636;522;32667;507;0;1268;0;2388;0;6097;0;0;0;0;341;0;0;9147;0;0;2397;10522;0
51;03;80358;37604;1129;588;35887;666;0;1524;0;2090;0;5195;0;0;0;0;432;0;0;9165;0;0;3042;13773;0
51;04;78417;37414;881;747;35786;611;0;1463;0;2353;0;5644;0;0;0;0;575;0;0;9133;0;0;2635;13372;0
51;05;77686;39627;1071;984;37572;692;0;1049;0;1738;0;4545;0;0;0;0;521;0;0;8801;0;0;3311;16915;0
52;01;73519;37004;1244;1093;34667;662;0;1141;0;2030;0;6428;0;0;0;0;402;0;0;8631;0;0;2643;12730;0
52;02;63195;30618;948;730;28940;578;0;1084;0;1249;0;3393;0;0;0;0;254;0;0;6016;0;0;2253;14113;0
53;01;72916;35420;1343;926;33151;569;1035;0;0;2631;0;8603;0;0;0;0;204;0;0;10474;0;0;2330;7305;0
53;02;77255;37040;1498;1097;34445;607;857;0;0;2430;0;7781;0;0;0;0;203;0;0;12735;0;0;2306;7526;0
53;03;72267;34096;1452;1328;31316;530;806;0;0;2115;0;6430;0;0;0;0;222;0;0;12428;0;0;1890;6895;0
54;01;79064;38685;674;471;37540;526;0;1794;0;3135;0;10398;0;0;0;0;399;0;0;9175;0;0;2454;9659;0
54;02;68520;34915;550;463;33902;420;0;1333;0;2756;0;9834;0;0;0;0;316;0;0;9457;0;0;1973;7813;0
54;03;83323;32404;736;493;31175;739;0;3050;0;1654;0;7562;0;0;0;0;347;0;0;4783;0;0;1578;11462;0
54;04;97211;49949;1244;856;47849;825;0;1571;0;2953;0;9794;0;0;0;0;560;0;0;9793;0;0;2840;19513;0
54;05;77789;41127;1098;662;39367;598;0;1204;0;2590;0;8982;0;0;0;0;457;0;0;6852;0;0;2520;16164;0
54;06;87410;40504;985;539;38980;754;0;2381;0;2410;0;9124;0;0;0;0;428;0;0;6601;0;0;2083;15199;0
55;01;77905;40678;1176;843;38659;563;0;966;0;2374;0;7507;0;0;0;0;511;0;0;7566;0;0;3356;15816;0
